id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<No. of pub. (2000-2018)>	score<Avg. pub. year>
11	11	"<table><tr><td>Meso-level field:</td><td>11</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of climate; geophysical research letters; journal of geophysical research-oceans; journal of geophysical research-atmospheres; monthly weather review</td></tr><tr><td>Terms:</td><td>madden julian oscillation; tropical cyclone activity; mjo; luzon strait; internal solitary wafe</td></tr></table>"	0.5083	0.1382	4	761	1030559	114324	2010.7827
12	12	"<table><tr><td>Meso-level field:</td><td>12</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>forest ecology and management; plos one; ecology; plant ecology; journal of ecology</td></tr><tr><td>Terms:</td><td>saproxylic beetle; alien plant; pollen limitation; fire regime; wildland urban interface</td></tr></table>"	0.108	0.0122	4	773	1797346	108884	2010.6962
13	13	"<table><tr><td>Meso-level field:</td><td>13</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>physical review d; journal of high energy physics; physics letters b; classical and quantum gravity; journal of cosmology and astroparticle physics</td></tr><tr><td>Terms:</td><td>brane; bianchi type; hawking radiation; loop quantum cosmology; massive gravity</td></tr></table>"	1.3574	0.0665	3	715	480543	107190	2009.7702
14	14	"<table><tr><td>Meso-level field:</td><td>14</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Journals:</td><td>antimicrobial agents and chemotherapy; journal of antimicrobial chemotherapy; journal of clinical microbiology; international journal of antimicrobial agents; infection control and hospital epidemiology</td></tr><tr><td>Terms:</td><td>carbapenemase; kpc; ndm; ctx m; surgical site infection</td></tr></table>"	-0.4266	-0.2854	2	772	1115134	105572	2010.7328
15	15	"<table><tr><td>Meso-level field:</td><td>15</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>organometallics; journal of organometallic chemistry; inorganic chemistry; dalton transactions; journal of the american chemical society</td></tr><tr><td>Terms:</td><td>ethylene polymerization; metallocene catalyst; syndiotactic polystyrene; ziegler natta catalyst; frustrated lewis pair</td></tr></table>"	0.6113	-0.4365	3	753	1443481	102498	2008.707
16	16	"<table><tr><td>Meso-level field:</td><td>16</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>physical review b; applied physics letters; journal of applied physics; physical review letters; physica e-low-dimensional systems & nanostructures</td></tr><tr><td>Terms:</td><td>inas gaas quantum dot; terahertz quantum cascade laser; inas gaas self; cdznte; gaasn</td></tr></table>"	1.1759	-0.1667	3	705	586514	101654	2007.969
17	17	"<table><tr><td>Meso-level field:</td><td>17</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Journals:</td><td>experimental brain research; vision research; journal of vision; journal of neuroscience; plos one</td></tr><tr><td>Terms:</td><td>iowa gambling task; rubber hand illusion; prism adaptation; binocular rivalry; visual search</td></tr></table>"	-0.4743	0.5766	2	774	1654219	100614	2010.3212
18	18	"<table><tr><td>Meso-level field:</td><td>18</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>synthetic metals; applied physics letters; organic electronics; advanced materials; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>polymer solar cell; organic thin film transistor; hexylthiophene; polymer light; p3ht</td></tr></table>"	0.834	-0.3502	3	767	1418701	100519	2010.9624
19	19	"<table><tr><td>Meso-level field:</td><td>19</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>public health nutrition; bmc public health; plos one; international journal of obesity; appetite</td></tr><tr><td>Terms:</td><td>food frequency questionnaire; obesity paradox; active commuting; mediterranean diet; low carbohydrate diet</td></tr></table>"	-0.6496	0.2221	2	775	1666022	99442	2011.5517
20	20	"<table><tr><td>Meso-level field:</td><td>20</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>aids; jaids-journal of acquired immune deficiency syndromes; journal of virology; plos one; aids research and human retroviruses</td></tr><tr><td>Terms:</td><td>lipodystrophy; integrase inhibitor; raltegravir; hiv prevention; nef</td></tr></table>"	-0.5907	-0.2573	2	773	1175946	97922	2009.6441
21	21	"<table><tr><td>Meso-level field:</td><td>21</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>lecture notes in computer science; ieee transactions on image processing; pattern recognition; pattern recognition letters; ieee transactions on pattern analysis and machine intelligence</td></tr><tr><td>Terms:</td><td>face recognition; active contour; salient object detection; person re identification; image super resolution</td></tr></table>"	0.8697	0.4047	5	781	644103	97424	2011.2198
22	22	"<table><tr><td>Meso-level field:</td><td>22</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>personality and individual differences; journal of personality and social psychology; personality and social psychology bulletin; journal of experimental social psychology; plos one</td></tr><tr><td>Terms:</td><td>regulatory focus; mortality salience; dark triad; ego depletion; ostracism</td></tr></table>"	-0.4391	0.6795	1	766	1705547	94740	2011.1389
23	23	"<table><tr><td>Meso-level field:</td><td>23</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>applied physics letters; journal of applied physics; ieee transactions on electron devices; thin solid films; physical review b</td></tr><tr><td>Terms:</td><td>polycrystalline silicon thin film transistor; czochralski silicon; negative bias temperature instability; multicrystalline silicon; ge nanocrystal</td></tr></table>"	1.065	-0.2506	3	750	586139	91842	2008.6785
24	24	"<table><tr><td>Meso-level field:</td><td>24</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>soil biology & biochemistry; plant and soil; soil science society of america journal; communications in soil science and plant analysis; geoderma</td></tr><tr><td>Terms:</td><td>nitrous oxide emission; methane emission; composting; soil organic carbon stock; soil water repellency</td></tr></table>"	0.2835	-0.0176	4	774	1254534	90360	2010.2881
25	25	"<table><tr><td>Meso-level field:</td><td>25</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>applied catalysis a-general; catalysis today; journal of catalysis; applied catalysis b-environmental; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>fischer tropsch synthesis; selective catalytic reduction; co hydrogenation; methanol synthesis; hydrodesulfurization</td></tr></table>"	0.9162	-0.3057	3	745	1096889	88472	2009.871
26	26	"<table><tr><td>Meso-level field:</td><td>26</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>journal of physical chemistry c; applied catalysis b-environmental; rsc advances; applied surface science; journal of materials chemistry a</td></tr><tr><td>Terms:</td><td>dye sensitized solar cells; tio2 film; sensitizer; dssc; enhanced visible light photocatalytic activity</td></tr></table>"	0.9378	-0.3182	3	767	1563259	87931	2012.6362
27	27	"<table><tr><td>Meso-level field:</td><td>27</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>journal of applied polymer science; polymer; polymer degradation and stability; macromolecules; polymer engineering and science</td></tr><tr><td>Terms:</td><td>flame retardancy; isotactic polypropylene; ammonium polyphosphate; rigid polyurethane foam; benzoxazine</td></tr></table>"	0.7737	-0.2751	3	766	823608	87915	2009.2054
28	28	"<table><tr><td>Meso-level field:</td><td>28</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>hydrobiologia; limnology and oceanography; marine ecology progress series; journal of plankton research; harmful algae</td></tr><tr><td>Terms:</td><td>microcystin; domoic acid; chromophoric; cylindrospermopsin; saxitoxin</td></tr></table>"	0.254	-0.0324	4	773	1262432	86729	2010.2004
29	29	"<table><tr><td>Meso-level field:</td><td>29</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of dairy science; journal of animal science; revista brasileira de zootecnia-brazilian journal of animal science; indian journal of animal sciences; theriogenology</td></tr><tr><td>Terms:</td><td>dairy cow; ovulation; clinical mastitis; estrus; ruminal fermentation</td></tr></table>"	-0.3191	-0.1633	4	766	574440	85745	2009.6643
30	30	"<table><tr><td>Meso-level field:</td><td>30</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of alzheimers disease; neurology; neurobiology of aging; plos one; international journal of geriatric psychiatry</td></tr><tr><td>Terms:</td><td>amyloid beta peptide; presenilin; gamma secretase; amyloid precursor protein; cadasil</td></tr></table>"	-0.5932	-0.014	2	776	2004958	84721	2010.6781
31	31	"<table><tr><td>Meso-level field:</td><td>31</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>physical review b; physica c-superconductivity and its applications; physical review letters; physica b-condensed matter; journal of the physical society of japan</td></tr><tr><td>Terms:</td><td>mgb2; cuprate superconductor; iron pnictide; cuprate; high t c cuprate</td></tr></table>"	1.2039	-0.2036	3	603	386992	84478	2007.9763
32	32	"<table><tr><td>Meso-level field:</td><td>32</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>atmospheric environment; atmospheric chemistry and physics; journal of geophysical research-atmospheres; environmental science & technology; geophysical research letters</td></tr><tr><td>Terms:</td><td>secondary organic aerosol; ambient air pollution; fine particulate matter; aerosol optical property; diesel exhaust particle</td></tr></table>"	0.4841	0.0933	4	780	943851	84147	2010.3593
33	33	"<table><tr><td>Meso-level field:</td><td>33</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of economic entomology; environmental entomology; zootaxa; entomologia experimentalis et applicata; biological control</td></tr><tr><td>Terms:</td><td>phytoseiidae; entomopathogenic nematode; steinernematidae; beauveria bassiana; metarhizium anisopliae</td></tr></table>"	0.0073	-0.072	4	770	810444	80286	2010.0854
34	34	"<table><tr><td>Meso-level field:</td><td>34</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>materials science and engineering a-structural materials properties microstructure and processing; acta materialia; metallurgical and materials transactions a-physical metallurgy and materials science; scripta materialia; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>tial alloy; plasticity steel; high nb; twip steel; portevin le chatelier effect</td></tr></table>"	1.0999	-0.1997	3	743	543818	80254	2010.0545
35	35	"<table><tr><td>Meso-level field:</td><td>35</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>lecture notes in computer science; lecture notes in artificial intelligence; acm sigplan notices; journal of systems and software; theoretical computer science</td></tr><tr><td>Terms:</td><td>discrete event system; software product line; logic program; abstract interpretation; requirements engineering</td></tr></table>"	0.8453	0.4904	5	768	225958	80211	2008.5756
36	36	"<table><tr><td>Meso-level field:</td><td>36</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>automatica; ieee transactions on automatic control; international journal of control; iet control theory and applications; international journal of robust and nonlinear control</td></tr><tr><td>Terms:</td><td>h infinity control; uncertain nonlinear system; time delay system; robust stability; state delay</td></tr></table>"	0.9955	0.3239	5	758	397712	80195	2010.4098
37	37	"<table><tr><td>Meso-level field:</td><td>37</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>journal of chemical education; computers & education; international journal of science education; teaching and teacher education; british journal of educational technology</td></tr><tr><td>Terms:</td><td>science education; pedagogical content knowledge; flipped classroom; conceptual change; organic chemistry</td></tr></table>"	-0.3089	0.8011	1	776	463078	80079	2010.9446
38	38	"<table><tr><td>Meso-level field:</td><td>38</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of experimental botany; plant physiology; frontiers in plant science; photosynthesis research; journal of plant physiology</td></tr><tr><td>Terms:</td><td>photosystem; photosynthetic reaction center; light harvesting complex; cyclic electron flow; excitation energy transfer</td></tr></table>"	0.0124	-0.1519	4	777	1512915	79849	2010.0969
39	39	"<table><tr><td>Meso-level field:</td><td>39</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>physical review a; physical review letters; international journal of theoretical physics; physics letters a; quantum information processing</td></tr><tr><td>Terms:</td><td>quantum discord; teleportation; quantum key distribution; qubit state; coherent state</td></tr></table>"	1.2564	-0.0311	3	692	445837	79841	2010.2254
40	40	"<table><tr><td>Meso-level field:</td><td>40</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>atherosclerosis; journal of lipid research; arteriosclerosis thrombosis and vascular biology; plos one; journal of biological chemistry</td></tr><tr><td>Terms:</td><td>cholesteryl ester transfer protein; paraoxonase; trans fatty acid; pon1; plant sterol</td></tr></table>"	-0.6307	-0.0971	2	761	1652754	77748	2009.2241
41	41	"<table><tr><td>Meso-level field:</td><td>41</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>american journal of cardiology; international journal of cardiology; journal of the american college of cardiology; catheterization and cardiovascular interventions; circulation</td></tr><tr><td>Terms:</td><td>aspirin resistance; prasugrel; ticagrelor; coronary artery calcium; non st segment elevation acute coronary syndrome</td></tr></table>"	-0.858	0.0249	2	762	840520	77456	2010.1351
42	42	"<table><tr><td>Meso-level field:</td><td>42</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of immunology; plos one; european journal of immunology; blood; frontiers in immunology</td></tr><tr><td>Terms:</td><td>ipilimumab; immune checkpoint inhibitor; nivolumab; pembrolizumab; suppressor cell</td></tr></table>"	-0.7298	-0.2871	2	766	2376021	76800	2011.2784
43	43	"<table><tr><td>Meso-level field:</td><td>43</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>ieee transactions on wireless communications; ieee transactions on communications; ieee transactions on vehicular technology; ieee communications letters; ieee transactions on information theory</td></tr><tr><td>Terms:</td><td>cognitive radio network; nakagami m fading channel; papr reduction; amplify; cooperative spectrum sensing</td></tr></table>"	0.949	0.4414	5	738	200238	75046	2011.5755
44	44	"<table><tr><td>Meso-level field:</td><td>44</td></tr><tr><td>Main fields:</td><td>Mathematics and computer science</td></tr><tr><td>Journals:</td><td>statistics in medicine; communications in statistics-theory and methods; computational statistics & data analysis; journal of statistical planning and inference; statistics & probability letters</td></tr><tr><td>Terms:</td><td>order statistic; empirical likelihood; variable selection; exponential distribution; functional data</td></tr></table>"	-0.1605	0.3586	5	779	706321	74457	2010.7358
45	45	"<table><tr><td>Meso-level field:</td><td>45</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>journal of european public policy; electoral studies; public administration review; jcms-journal of common market studies; west european politics</td></tr><tr><td>Terms:</td><td>us house; party competition; turnout; economic voting; european parliament</td></tr></table>"	-0.2361	0.8673	1	737	451245	73746	2010.5939
46	46	"<table><tr><td>Meso-level field:</td><td>46</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>optics express; applied physics letters; physical review b; journal of physical chemistry c; nano letters</td></tr><tr><td>Terms:</td><td>surface plasmon resonance sensor; ser; surface enhanced raman; raman scattering substrate; extraordinary optical transmission</td></tr></table>"	0.9772	-0.2225	3	768	1179089	73352	2011.8032
47	47	"<table><tr><td>Meso-level field:</td><td>47</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Journals:</td><td>chemosphere; environmental science & technology; science of the total environment; mutation research-genetic toxicology and environmental mutagenesis; environmental pollution</td></tr><tr><td>Terms:</td><td>gstm1; pbde; tcdd; n acetyltransferase; aryl hydrocarbon receptor</td></tr></table>"	-0.172	-0.1296	2	776	1074099	72957	2009.0524
48	48	"<table><tr><td>Meso-level field:</td><td>48</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Social sciences and humanities</td></tr><tr><td>Journals:</td><td>land use policy; sustainability; ecology and society; conservation biology; biological conservation</td></tr><tr><td>Terms:</td><td>redd; land cover change; tropical forest; community forestry; deforestation</td></tr></table>"	0.0524	0.5201	4	768	1070279	72298	2011.8373
49	49	"<table><tr><td>Meso-level field:</td><td>49</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>inorganic chemistry; acta crystallographica section e-crystallographic communications; dalton transactions; chemical communications; crystengcomm</td></tr><tr><td>Terms:</td><td>single molecule magnet; slow magnetic relaxation; spin crossover; microporous metal organic framework; gas adsorption</td></tr></table>"	0.7361	-0.3973	3	743	1128413	72078	2010.9565
50	50	"<table><tr><td>Meso-level field:</td><td>50</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Journals:</td><td>journal of affective disorders; journal of clinical psychiatry; psychiatry research; british journal of psychiatry; suicide and life-threatening behavior</td></tr><tr><td>Terms:</td><td>psychogenic nonepileptic seizure; deliberate self harm; suicide attempter; hypochondriasis; unexplained symptom</td></tr></table>"	-0.5573	0.5793	2	751	1010724	71962	2010.2032
51	51	"<table><tr><td>Meso-level field:</td><td>51</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>journal of fluid mechanics; physics of fluids; aiaa journal; journal of computational physics; experiments in fluids</td></tr><tr><td>Terms:</td><td>turbulent rayleigh benard convection; mach; wall turbulence; plasma actuator; square cylinder</td></tr></table>"	1.0006	0.0845	3	743	368464	71609	2010.3075
52	52	"<table><tr><td>Meso-level field:</td><td>52</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>plant physiology; plant cell tissue and organ culture; plant journal; plant cell; journal of experimental botany</td></tr><tr><td>Terms:</td><td>somatic embryogenesis; plant regeneration; vitro propagation; leaf explant; arabinogalactan protein</td></tr></table>"	-0.0186	-0.1642	4	769	1315720	71252	2010.2111
53	53	"<table><tr><td>Meso-level field:</td><td>53</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Journals:</td><td>journal of speech language and hearing research; lingua; brain and language; frontiers in psychology; aphasiology</td></tr><tr><td>Terms:</td><td>morphological awareness; stuttering; visual word recognition; spelling; sli</td></tr></table>"	-0.4599	0.6226	1	754	547780	71148	2010.474
54	54	"<table><tr><td>Meso-level field:</td><td>54</td></tr><tr><td>Main fields:</td><td>Life and earth sciences; Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>molecular ecology; molecular phylogenetics and evolution; plos one; conservation genetics; mitochondrial dna part a</td></tr><tr><td>Terms:</td><td>b chromosome; mhc; mhc class; complete mitochondrial genome sequence; rivulidae</td></tr></table>"	0.0438	-0.0075	4	773	1526750	70637	2010.5657
55	55	"<table><tr><td>Meso-level field:</td><td>55</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>applied physics letters; sensors and actuators b-chemical; journal of applied physics; thin solid films; applied surface science</td></tr><tr><td>Terms:</td><td>varistor; zno thin film; ingazno thin film transistor; zno nanostructure; </td></tr></table>"	1.002	-0.3038	3	732	874868	69584	2010.9399
56	56	"<table><tr><td>Meso-level field:</td><td>56</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>anesthesia and analgesia; british journal of anaesthesia; anesthesiology; anaesthesia; regional anesthesia and pain medicine</td></tr><tr><td>Terms:</td><td>postoperative nausea; bupivacaine; vomiting; nausea; cancer pain</td></tr></table>"	-0.7926	0.1634	2	759	570670	68335	2010.0026
57	57	"<table><tr><td>Meso-level field:</td><td>57</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Journals:</td><td>journal of power sources; electrochimica acta; journal of the electrochemical society; journal of materials chemistry a; rsc advances</td></tr><tr><td>Terms:</td><td>lithium sulfur battery; sodium ion battery; li o; lifepo4; li3v2</td></tr></table>"	0.9669	-0.3128	3	739	785416	67976	2012.8377
58	58	"<table><tr><td>Meso-level field:</td><td>58</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Journals:</td><td>international journal of remote sensing; remote sensing; ieee transactions on geoscience and remote sensing; remote sensing of environment; ieee geoscience and remote sensing letters</td></tr><tr><td>Terms:</td><td>hyperspectral image classification; land cover classification; urban heat island; hyperspectral; green roof</td></tr></table>"	0.5016	0.1462	4	754	861502	67807	2011.7885
59	59	"<table><tr><td>Meso-level field:</td><td>59</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>fertility and sterility; human reproduction; theriogenology; reproductive biomedicine online; journal of assisted reproduction and genetics</td></tr><tr><td>Terms:</td><td>extender; antifreeze protein; vitrification; developmental competence; capacitation</td></tr></table>"	-0.6883	-0.1218	2	771	701641	67782	2009.739
60	60	"<table><tr><td>Meso-level field:</td><td>60</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Life and earth sciences</td></tr><tr><td>Journals:</td><td>journal of agricultural and food chemistry; food chemistry; molecules; food research international; journal of functional foods</td></tr><tr><td>Terms:</td><td>coffee consumption; gallate; epigallocatechin; resveratrol; green tea catechin</td></tr></table>"	-0.2727	-0.2196	2	773	1559563	66973	2011.2886
61	61	"<table><tr><td>Meso-level field:</td><td>61</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>european respiratory journal; respiratory medicine; chest; american journal of respiratory and critical care medicine; journal of allergy and clinical immunology</td></tr><tr><td>Terms:</td><td>copd; pulmonary rehabilitation; chronic obstructive pulmonary disease; copd patient; antitrypsin deficiency</td></tr></table>"	-0.6668	-0.097	2	769	986436	66646	2009.9382
62	62	"<table><tr><td>Meso-level field:</td><td>62</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>schizophrenia research; psychiatry research; journal of affective disorders; journal of clinical psychiatry; schizophrenia bulletin</td></tr><tr><td>Terms:</td><td>neuroleptic malignant syndrome; tardive dyskinesia; first episode schizophrenia; pediatric bipolar disorder; ultra high risk</td></tr></table>"	-0.5743	0.4861	2	756	913994	66401	2009.7731
63	63	"<table><tr><td>Meso-level field:</td><td>63</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>diabetes care; diabetic medicine; diabetes research and clinical practice; diabetes obesity & metabolism; diabetes technology & therapeutics</td></tr><tr><td>Terms:</td><td>special health care need; ramadan; basal insulin; diabetes education; diabetes self management</td></tr></table>"	-0.7043	0.0109	2	759	1175156	66388	2010.5881
64	64	"<table><tr><td>Meso-level field:</td><td>64</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>journal of thrombosis and haemostasis; haemophilia; thrombosis and haemostasis; thrombosis research; blood</td></tr><tr><td>Terms:</td><td>von willebrand disease; severe haemophilium; heparin induced thrombocytopenia; recombinant activated factor vii; inferior vena cava filter</td></tr></table>"	-0.8103	-0.0802	2	760	790141	66174	2009.0504
65	65	"<table><tr><td>Meso-level field:</td><td>65</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Journals:</td><td>investigative ophthalmology & visual science; retina-the journal of retinal and vitreous diseases; ophthalmology; american journal of ophthalmology; british journal of ophthalmology</td></tr><tr><td>Terms:</td><td>macular degeneration; neovascular age; diabetic macular edema; age related macular; ranibizumab</td></tr></table>"	-0.6233	-0.1227	2	768	603048	66113	2010.6674
